song_id,song_name,artists,genres
11034892.0,Tonight,AGA,"c-pop,cantopop"
4548.0,我的宣言,Pakho Chau,"c-pop,cantopop"
9537598.0,Sugar,Maroon 5,pop
9289621.0,I Like Me Better,Lauv,"dance pop,pop"
16979866.0,Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,"baroque pop,emo,modern rock,pop punk"
4580.0,單車,Eason Chan,"c-pop,cantopop,mandopop"
9897706.0,Always Remember Us This Way,Lady Gaga,"dance pop,pop"
17280360.0,Who Do You Love,"The Chainsmokers,5 Seconds of Summer","boy band,dance pop,pop,post-teen pop,electropop,pop,tropical house"
3803109.0,Say You Won't Let Go,James Arthur,"dance pop,pop,post-teen pop,talent show,uk pop"
14936719.0,RITMO (Bad Boys For Life),"Black Eyed Peas,J Balvin","dance pop,pop,pop rap,latin,reggaeton"
4062050.0,終身美麗,Sammi Cheng,"c-pop,cantopop,classic cantopop,mandopop"
5986240.0,Treat You Better,Shawn Mendes,"canadian pop,pop,post-teen pop,viral pop"
8106397.0,長相廝守,ToNick,cantopop
8442765.0,Attention,Charlie Puth,"dance pop,pop,post-teen pop,viral pop"
6010.0,分手總約在雨天,Charmaine Fong,"c-pop,cantopop"
441658.0,小幸運,Hebe Tien,"c-pop,mandopop"
13070735.0,Old Town Road - Remix,"Lil Nas X,Billy Ray Cyrus","contemporary country,country,country rap,lgbtq+ hip hop"
17783257.0,忘記和記,Juno Mak,"c-pop,cantopop,chinese indie"
15292472.0,Make It Right (feat. Lauv),"BTS,Lauv","k-pop,k-pop boy group,dance pop,pop"
13627317.0,boyfriend (with Social House),"Ariana Grande,Social House","dance pop,pop,post-teen pop,pop rap"
3946570.0,痛愛,Joey Yung,"c-pop,cantopop"
841349.0,演員,Joker Xue,mandopop
17797870.0,寂寞就如,Juno Mak,"c-pop,cantopop,chinese indie"
8347037.0,lovely (with Khalid),"Billie Eilish,Khalid","electropop,pop,pop"
7789384.0,The Middle,"Zedd,Maren Morris,Grey","complextro,dance pop,edm,electro house,german techno,pop,post-teen pop,tropical house,contemporary country,texas country,pop,pop edm"
14269409.0,BOP,DaBaby,"nc hip hop,rap"
16147626.0,Tusa,"KAROL G,Nicki Minaj","dance pop,hip pop,pop,pop rap,post-teen pop,rap,reggaeton"
15090711.0,沒了妳,高爾宣 OSN,taiwan pop
10136753.0,龍舌蘭,"Eason Chan,eason and the duo band","c-pop,cantopop,mandopop"
11564059.0,绿色,Shirley Chen,mainland chinese pop
9698960.0,倒數,G.E.M.,"cantopop,mandopop"
10052087.0,Let Me Down Slowly,Alec Benjamin,"dance pop,pop"
7074159.0,再不再見,C AllStar,"c-pop,cantopop"
14707249.0,望,Charmaine Fong,"c-pop,cantopop"
17787427.0,我在陽台上看你,Kay Tse,"c-pop,cantopop"
13425060.0,偷情的禮儀,Kay Tse,"c-pop,cantopop"
17338235.0,Mind Is A Prison,Alec Benjamin,"dance pop,pop"
10230240.0,下一位前度,林家謙,
17627573.0,一語道破,JC 陳詠桐,"cantopop,mandopop"
17672620.0,本能寺,Jason Chan,"c-pop,cantopop"
17540077.0,我是如此相信 (天火電影主題曲),Jay Chou,"c-pop,mandopop,taiwan pop"
10124408.0,認真如初,Jason Chan,"c-pop,cantopop"
8025803.0,體面(電影《前任3:再見前任》插曲),Kelly Yu,"mainland chinese pop,mandopop"
14234985.0,Good Thing (with Kehlani),"Zedd,Kehlani","complextro,dance pop,edm,electro house,german techno,pop,post-teen pop,tropical house,dance pop,pop,pop rap,post-teen pop,r&b,rap"
13781152.0,What Am I,Why Don't We,"boy band,dance pop,pop,post-teen pop"
15759121.0,最後的信仰,Eman Lam,"cantopop,chinese indie"
17867706.0,Yummy,Justin Bieber,"canadian pop,dance pop,pop,post-teen pop"
17860493.0,Changes,Lauv,"dance pop,pop"
